Interval,Depth,interp,50,Year CE,spline,Abiskomyia,Ablabesmyia,Brillia,Chironomini undiff,Chironomus,Chironomus anthracinus,C.mancus,C.oliveri-type,C.arctica,Corynoneura type A,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus isocladius type C,Cricotopus sylvestris,Dicrotendipes,Eukiefferiella,Eukiefferiella devonica-type,Heterotrissocladius grimshawi,Heterotrissocladius subpilosus,Hydrobaenus,Limnophyes,Microchironomus,Micropsectra undiff.,Micropsectra contracta-type,M.insignilobus,Micropsectra pallidula,M.radialis-type,Neozavrelia,Oliveridia,Orthocladiinae undiff,Orthocladius (Pogonocladius) consobrinus-type,Orthocladius oliveri-type,Orthocladius type I,Orthocladius type S,Paracladius,Parakieferiella,Parakiefferiella bathophila,Parakiefferiella nigra,Parakiefferiella triquetra,Paratanytarsus,P.austriacus,Procladius,Propsilocerus lacustris,Protanypus,P.flavus-type,Psectrocladius (Psectrocladius) barbimanus-type,Psectrocladius (Monopsectrocladius) septrionalis-type,P.sordidellus,Pseudodiamesa,Sergentia,Stictochironomus,Tanytarsini undiff,T.glabrescens,T.lactescens,T.lugens,Tanytarsus mendax,Tanytarsus pallidicornis,Thienemanniella,Unknown,Zalutschia type A,Z.pauca,Zalutschia mucronata,Zalutschia zalutschicola,Sums
1,0.5,-68,-68,2018,-68,2.5,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,0,1,0,0,0,0,18.5,0,0,0,0,0,0,2,0,57
2,1,-64,-64,2014,-66,1,4,0,0,0,0,4,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,18.5,0,3,0,0,0,0,16,0,0,0,0,0,2,1,0,81.5
3,1.5,-60,-60,2010,-63,3,1,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,15,0,1,0,0,1,2,12,0,0,0,0,0,2.5,0,0,61.5
4,2,-58,-58,2008,-61,7,1,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,17.5,0,3,0,0,0,0,20,0,0,0,0,0,3,2,0,80.5
5,2.5,-55,-55,2005,-58,8.5,0,0,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,1,15.5,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,87
6,3,-52,-52,2002,-55,14.5,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.5,0,10,0,0,0,0,1,0,1,0,0,3.5,0,2,6.5,0,2,0,0,5,3,26,0,0,0,0,0,0,0,0,87
7,3.5,-49,-49,1999,-52,18,1,0,0,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,1,0,0,4,3,24,0,0,0,1,0,2,0,0,88.5
8,4,-46,-46,1996,-49,14.5,1,0,0,0,1,0,3,2,0,0.5,1.5,2,0,1,0,1,0,0,0,0,0,0,2.5,0,0,3,0,0,2,0,0,0.5,0,8,0,0,0,0,0,0,0,0,1,1,0,0,7.5,0,5,0,0,9,2,20,0,0,0,1,0,0,0,0,90
9,4.5,-42,-42,1992,-46,15,1,0,0,0,0,0,6,3,0,0.5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,0,0,0,0,0,0,0,8,0,0,0,1,0,3,0,0,0,0,0,0,1.5,0,5,0,0,5,3,15,0,0,0,0,0,0,0,0,76.5
10,5,-39,-39,1989,-43,5.5,0,0,0,0,0.5,0,7,2,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,3,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1,3,0,4,0,0,1,0.5,14,0,0,0,0,0,3.5,1,0,65
11,5.5,-36,-36,1986,-39,19.5,0,0,0,0,0,1,5,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,2,1,4,0,0,3,1,10,1,0,0,0,0,0,0,0,65.5
12,6,-28,-28,1978,-34,15,0,0,0,0,0,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,11.5,0,1,0,0,0,0,0,0,0,0,0,0,4.5,1,3,1,1,1,1,12,1,0,1,1,0,0,0,1,71
13,6.5,-18,-18,1968,-29,28.5,0,1,0,0,1,1,3,4,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,7.5,1,2.5,0,0,6,0,20,0,0,1,1,0,3.5,0,0,106
14,7,-6,-6,1956,-22,23.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,25,0,0,0,0,3,2,0,0,1,0,0,0,2,1,5,0,2,6,5,16,0,0,0,0,0,3,0,0,104.5
15,7.5,9,9,1941,-15,44.5,0,0,0,0,1,0,9,7,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,7,0,8,0,0,0,0,0,0,0,27.5,0,0,0,0,3,0,0,0,0,0,0,0,2.5,0.5,5,1,0,7,5,17,0,0,0,0,0,5.5,0,0,152.5
16,8,17,17,1933,-6,55,1,0,0,0,1,0,13,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,28,0,0,0,0,2,4,0,0,3,0,0,1,9.5,0,10,0,0,2,7,21.5,0,0,0,0,0,5,0,0,180
17,8.5,25,25,1925,7,67,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,11,0,1,0,0,1,0,3,22,0,0,0,0,5,3,0,0,0,0,0,0,5.5,0.5,11,0,0,4,5.5,31,0,0,0,0,0,3.5,0,0,195
